2023-12-28 13:08:27 INFO  Waitings:334 - TOTAL TIME that the LOGIN or LANDING page was loading: 0.161 seconds.
2023-12-28 13:08:37 INFO  LandingPage:2898 - The application was detected to have loaded WITH 'LOGIN' page.no such element: Unable to locate element: {"method":"xpath","selector":"//*[contains (text(), 'Standard Data Collation')]"}
  (Session info: chrome=120.0.6099.130)
For documentation on this error, please visit: http://seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.4.0', revision: 'unknown', time: 'unknown'
System info: host: 'ACSWDF004563', ip: '10.76.102.49', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '12.0.2'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities [{networkConnectionEnabled=false, chrome={chromedriverVersion=120.0.6099.71 (9729082fe6174c0a371fc66501f5efc5d69d3d2b-refs/branch-heads/6099_56@{#13}), userDataDir=C:\Users\c5282596\AppData\Local\Temp\scoped_dir1320_1532073278}, timeouts={implicit=0.0, pageLoad=300000.0, script=30000.0}, pageLoadStrategy=normal, unhandledPromptBehavior=dismiss and notify, strictFileInteractability=false, platform=ANY, proxy=Proxy(), webauthn:extension:minPinLength=true, goog:chromeOptions={debuggerAddress=localhost:50948}, webauthn:extension:credBlob=true, webauthn:extension:prf=true, acceptInsecureCerts=true, browserVersion=120.0.6099.130, fedcm:accounts=true, browserName=chrome, javascriptEnabled=true, platformName=windows, setWindowRect=true, webauthn:extension:largeBlob=true, webauthn:virtualAuthenticators=true}]
Session ID: bd2a480f46fea2e98c3c2af1168b07e7
*** Element info: {Using=xpath, value=//*[contains (text(), 'Standard Data Collation')]}
2023-12-28 13:08:37 INFO  LandingPage:2927 - USERNAME was SUCCESSFULLY entered!
2023-12-28 13:08:37 INFO  LandingPage:2937 - PASSWORD was SUCCESSFULLY entered!
2023-12-28 13:08:39 INFO  LandingPage:2947 - LOG ON button was SUCCESSFULLY clicked!
2023-12-28 13:08:39 INFO  Waitings:334 - TOTAL TIME that the After LOGON  page was loading: 0.096 seconds.
2023-12-28 13:08:41 INFO  Waitings:119 - TOTAL TIME that the ENTIRE of DATA COLLATION PAGE page was loading: 1.066 seconds.
2023-12-28 13:08:43 INFO  LandingPage:3000 - Document Number and Document Status fields are empty as expected.
2023-12-28 13:08:43 INFO  LandingPage:3031 - HEADER DATA panel is open by default.
2023-12-28 13:08:43 INFO  LandingPage:3059 - ITEM DATA panel is open by default.
2023-12-28 13:08:43 INFO  LandingPage:3074 - PERSONOLIZED button on DATA COLLATION page was clicked.
2023-12-28 13:08:43 INFO  Waitings:269 - TOTAL TIME that 'RESET TO DEFAULT DATA COLLATION PAGE' menu item page was loading: 0.028 seconds.
2023-12-28 13:08:44 INFO  LandingPage:2872 - SET TO DEFAULT menu item was SUCCESSFULLY clicked on.
2023-12-28 13:08:45 INFO  Waitings:119 - TOTAL TIME that the DATA COLLATION PAGE after clicking on 'SET TO DEFAULT' menu item on PERSONALIZATION dropdown page was loading: 1.078 seconds.
2023-12-28 13:08:46 INFO  LandingPage:2841 - 'PERSONALIZATION' button on 'ITEM DATA' table was clicked SUCCESSFULLY.
2023-12-28 13:08:47 INFO  Waitings:119 - TOTAL TIME that the PERSONALIZATION POPUP page was loading: 1.046 seconds.
2023-12-28 13:08:49 INFO  Waitings:269 - TOTAL TIME that 'RESTORE' button -> SETTINGS' Popup page was loading: 0.028 seconds.
2023-12-28 13:08:50 INFO  Waitings:269 - TOTAL TIME that 'MAXIMIZE' button -> SETTINGS' Popup page was loading: 0.023 seconds.
2023-12-28 13:08:51 INFO  LandingPage:2700 - The height of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup is: 374
2023-12-28 13:08:51 INFO  LandingPage:2708 - The height of the vertical scroller in 'ADD ITEM -> SETTINGS' Popup is: 206
2023-12-28 13:08:51 INFO  LandingPage:2713 - The movable space for the vertical scroller in 'ADD ITEM -> SETTINGS' Popup is: 168
2023-12-28 13:08:51 INFO  LandingPage:2718 - The offset for moving 1 row is: 12
2023-12-28 13:08:51 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 248
2023-12-28 13:08:51 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 262
2023-12-28 13:08:51 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 262
2023-12-28 13:08:52 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 274
2023-12-28 13:08:52 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 274
2023-12-28 13:08:52 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 289
2023-12-28 13:08:52 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 289
2023-12-28 13:08:53 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 304
2023-12-28 13:08:53 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 304
2023-12-28 13:08:53 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 315
2023-12-28 13:08:53 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 315
2023-12-28 13:08:53 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 330
2023-12-28 13:08:53 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 330
2023-12-28 13:08:54 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 345
2023-12-28 13:08:54 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 345
2023-12-28 13:08:54 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 360
2023-12-28 13:08:54 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 360
2023-12-28 13:08:55 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 371
2023-12-28 13:08:55 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 371
2023-12-28 13:08:55 INFO  LandingPage:2743 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup after next move is: 386
2023-12-28 13:08:55 INFO  LandingPage:2731 - The Y-position of the vertical scroll bar in 'ADD ITEM -> SETTINGS' Popup before next move is: 386
